Altium Designer Pick and Place Locations
C:\Users\joaoc\Documents\eps2\hardware\.\fabrication\assembly_pick_place.txt

========================================================================================================================
File Design Information:

Date:       02/05/23
Time:       19:57
Revision:   310d68ef8141dd5cdd513bd909e24878fe205197
Variant:    No variations
Units used: mil

Designator      Comment                     Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                  
R92             150R                        BottomLayer R0603                      1515.748      1639.764      180      "RES 150R OHM 1/10W 1% 0603"                                                                                 
R84             10k                         BottomLayer R0603                      1725.177      1542.323      180      "RES 10K OHM 1/8W 1%  0603"                                                                                  
R83             10k                         BottomLayer R0603                      1725.177      1597.303      180      "RES 10K OHM 1/8W 1%  0603"                                                                                  
SYSTEM_FAULT    150060RS75000               BottomLayer 0603-RED-LED               3092.913      1883.071      90       "Red 625nm LED Indication - Discrete 2V 0603 (1608 Metric)"                                                  
R80             1k                          BottomLayer R0603                      2991.968      1790.793      180      "RES 1.0K OHM 1/8W 1% 0603"                                                                                  
D16             DNP                         BottomLayer SOD323F                    1252.953      2310.039      180      "Diode Schottky 20 V 2A Surface Mount SOD-323"                                                               
D14             DNP                         BottomLayer SOD323F                    1265.748      2787.402      180      "Diode Schottky 20 V 2A Surface Mount SOD-323"                                                               
D12             DNP                         BottomLayer SOD323F                    420.276       2333.661      180      "Diode Schottky 20 V 2A Surface Mount SOD-323"                                                               
D7              DNP                         BottomLayer SOD323F                    408.465       2764.809      180      "Diode Schottky 20 V 2A Surface Mount SOD-323"                                                               
RBF             0533980471                  TopLayer    PICOBLADE_4PIN_VERTICAL    243.346       1590.399      180      "PicoBlade 4 Position Vertical Connector Header Surface Mount  0.049" (1.25mm)"                              
R75             0.02R/0.5W                  BottomLayer 1206_-_ohmite              1990.885      2967.159      90       "Current Sense Resistors - SMD 0.02ohm .5% 4 Terminal"                                                       
R68             0.02R/0.5W                  BottomLayer 1206_-_ohmite              1277.303      2510.675      90       "Current Sense Resistors - SMD 0.02ohm .5% 4 Terminal"                                                       
Rsense3         0.075R/0.5W                 BottomLayer 1206_-_ohmite              728.740       2365.256      0        "Current Sense Resistors - SMD 1/2W 0.075 OHMS 1% 4 Terminal"                                                
R78             0.02R/0.5W                  BottomLayer 1206_-_ohmite              1980.807      2503.116      90       "Current Sense Resistors - SMD 0.02ohm .5% 4 Terminal"                                                       
R77             3k3                         BottomLayer R0805                      1772.283      2882.874      0        "RES SMD 3.3K OHM 0.1% 1/10W 0805"                                                                           
R49             0.02R/0.5W                  BottomLayer 1206_-_ohmite              1291.831      2971.108      90       "Current Sense Resistors - SMD 0.02ohm .5% 4 Terminal"                                                       
R48             3k3                         BottomLayer R0805                      245.511       2426.181      0        "RES SMD 3.3K OHM 0.1% 1/10W 0805"                                                                           
R41             0.02R/0.5W                  BottomLayer 1206_-_ohmite              447.342       2515.900      90       "Current Sense Resistors - SMD 0.02ohm .5% 4 Terminal"                                                       
R30             3k3                         BottomLayer R0805                      216.535       2893.701      0        "RES SMD 3.3K OHM 0.1% 1/10W 0805"                                                                           
R29             0.02R/0.5W                  BottomLayer 1206_-_ohmite              433.563       2981.345      90       "Current Sense Resistors - SMD 0.02ohm .5% 4 Terminal"                                                       
CN1             826646-2                    TopLayer    HDR_1X2                    1646.457      379.639       0        "Connector Header Through Hole 2 position 0.100" (2.54mm)"                                                   
V4              47k                         BottomLayer 0805                       2881.129      1230.158      90       "RES 47k OHM 1/10W 1% 0805"                                                                                  
V3              47k                         BottomLayer 0805                       3022.468      1263.780      0        "RES 47k OHM 1/10W 1% 0805"                                                                                  
V2              47k                         BottomLayer 0805                       2985.433      1407.874      90       "RES 47k OHM 1/10W 1% 0805"                                                                                  
V1              47k                         BottomLayer 0805                       2985.433      1646.063      90       "RES 47k OHM 1/10W 1% 0805"                                                                                  
MEC2            M3                          TopLayer    M3_hole                    2885.905      477.360       0        "M3 hole"                                                                                                    
MEC3            M3                          TopLayer    M3_hole                    1744.905      1779.793      0        "M3 hole"                                                                                                    
MEC1            M3                          TopLayer    M3_hole                    603.905       477.360       0        "M3 hole"                                                                                                    
MEC8            M3                          TopLayer    M3_hole                    2885.905      3081.360      0        "M3 hole"                                                                                                    
MEC7            M3                          TopLayer    M3_hole                    603.779       3081.738      0        "M3 hole"                                                                                                    
MEC6            M3                          TopLayer    M3_hole                    3495.700      3191.258      0        "M3 hole"                                                                                                    
MEC5            M3                          TopLayer    M3_hole                    123.030       3342.684      0        "M3 hole"                                                                                                    
MEC9            M3                          TopLayer    M3_hole                    123.030       192.092       0        "M3 hole"                                                                                                    
MEC4            M3                          TopLayer    M3_hole                    3496.062      290.518       0        "M3 hole"                                                                                                    
FD6             "Fiducial 1.3"              BottomLayer Fiducial_1.3mm             2560.630      214.961       180      "Fiducial 1.3mm"                                                                                             
FD5             "Fiducial 1.3"              BottomLayer Fiducial_1.3mm             123.622       468.110       180      "Fiducial 1.3mm"                                                                                             
FD4             "Fiducial 1.3"              BottomLayer Fiducial_1.3mm             2822.047      3338.189      180      "Fiducial 1.3mm"                                                                                             
FD3             "Fiducial 1.3"              TopLayer    Fiducial_1.3mm             3249.606      353.543       0        "Fiducial 1.3mm"                                                                                             
FD2             "Fiducial 1.3"              TopLayer    Fiducial_1.3mm             970.866       1554.724      0        "Fiducial 1.3mm"                                                                                             
FD1             "Fiducial 1.3"              TopLayer    Fiducial_1.3mm             3100.787      3170.079      0        "Fiducial 1.3mm"                                                                                             
P1              "Header 5X2IPS1-105-01-S-D" TopLayer    IPS1-105-01-S-D            651.575       1512.992      90       "10 Position Receptacle Connector 0.100" (2.54mm)"                                                           
P5              "Header 5X2IPS1-105-01-S-D" TopLayer    IPS1-105-01-S-D            143.701       1178.347      90       "10 Position Receptacle Connector 0.100" (2.54mm)"                                                           
VBus_TP         TEST_POINT                  TopLayer    TEST_POINT                 745.276       1141.187      90       "Test point"                                                                                                 
U28             TCA4311ADR                  BottomLayer SOIC8                      2829.555      2773.130      270      "IC SIGNAL BUFFER I2C 8SOIC"                                                                                 
U14             TPS54540QDDARQ1             TopLayer    SO8_Power_PAD              2464.999      568.549       0        TPS54540QDDARQ1                                                                                              
R_ESD           1.2M                        BottomLayer 0805                       3247.638      351.575       0        "RES 1200K OHM 1/8W 0.1% 0805"                                                                               
R93             0R                          BottomLayer 1206                       1234.646      951.575       0        "RES 0.0 OHM 3/4W JUMP 1206"                                                                                 
