Altium Designer Pick and Place Locations
C:\Users\Sidney&Viviane\Documents\Andre\GitHub\eps2\hardware\.\outputs\assembly_pick_place\assembly_pick_place.txt

========================================================================================================================
File Design Information:

Date:       31/08/20
Time:       21:03
Revision:   2e41e870cffdc553a8d1e7cbe5ae112707439bbd
Variant:    No variations
Units used: mil

Designator        Comment                     Layer       Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                   
V4                47k                         BottomLayer 0805            2881.129      1230.158      90       "RES 47k OHM 1/10W 1% 0805"                                   
V3                47k                         BottomLayer 0805            3022.468      1263.780      360      "RES 47k OHM 1/10W 1% 0805"                                   
V2                47k                         BottomLayer 0805            2985.433      1407.874      90       "RES 47k OHM 1/10W 1% 0805"                                   
V1                47k                         BottomLayer 0805            2985.433      1646.063      90       "RES 47k OHM 1/10W 1% 0805"                                   
P1                "Header 5X2IPS1-105-01-S-D" TopLayer    IPS1-105-01-S-D 651.575       1512.992      90       "10 Position Receptacle Connector 0.100" (2.54mm)"            
P5                "Header 5X2IPS1-105-01-S-D" TopLayer    IPS1-105-01-S-D 143.701       1178.347      90       "10 Position Receptacle Connector 0.100" (2.54mm)"            
U28               TCA4311ADR                  BottomLayer SOIC8           2829.555      2773.130      270      "IC SIGNAL BUFFER I2C 8SOIC"                                  
U14               TPS54540QDDARQ1             TopLayer    SO8_Power_PAD   2464.999      568.549       360      TPS54540QDDARQ1                                               
R_ESD             1.2M                        BottomLayer 0805            3247.638      351.575       360      "RES 1200K OHM 1/8W 0.1% 0805"                                
R93               0R                          BottomLayer 1206            1234.646      951.575       360      "RES 0.0 OHM 3/4W JUMP 1206"                                  
R91               0R                          BottomLayer 0805            3035.719      2457.087      180      "RES 0R OHM 1/8W JUMPER 0805"                                 
R90               0R                          BottomLayer 0805            3035.719      2553.150      180      "RES 0R OHM 1/8W JUMPER 0805"                                 
R89               0R                          BottomLayer 0805            3035.719      2653.543      180      "RES 0R OHM 1/8W JUMPER 0805"                                 
R88               0R                          BottomLayer 0805            3073.858      967.236       180      "RES 0R OHM 1/8W JUMPER 0805"                                 
C133              0.1uF/50V                   BottomLayer CC0603          2781.496      2562.598      360      "CAP CER 0.1UF 50V 10% X7R 0603"                              
5V_MAIN_RADIO_LED DNP                         BottomLayer 0603-LED        2355.046      92.520        270      "SMD Green LED"                                               
6V_BEACON_LED     DNP                         BottomLayer 0603-LED        2427.979      92.520        270      "SMD Green LED"                                               
U27               MAX9934TAUA+                BottomLayer MSOP-8          752.598       2538.037      270      MAX9934TAUA+                                                  
R36               4.02K                       BottomLayer 0805            642.755       2579.376      270      "RES 4.02k OHM 1/8W 0.1% 0805"                                
C130              4.7uF/25V                   BottomLayer CC0805          750.629       2741.974      360      "CAP CER 4.7uF 25V 10% X7R 0805"                              
C129              0.1uF/50V                   BottomLayer CC0603          581.338       2567.565      90       "CAP CER 0.1UF 50V 10% X7R 0603"                              
C128              0.1uF/50V                   BottomLayer CC0603          594.724       2376.227      270      "CAP CER 0.1UF 50V 10% X7R 0603"                              
D6                3SMAJ5919B-TP               BottomLayer DO-214AC        1512.046      1368.352      360      "DIODE ZENER 5.6V 3W DO214AC"                                 
J_V6              0R                          BottomLayer 0805            2201.810      1030.557      90       "RES 0R OHM 1/8W JUMPER 0805"                                 
C125              10uF/10V                    BottomLayer CC0805_Tantalum 2568.739      1193.943      360      "CAP Tantalum 10uF 6.3V 10% 0805"                             
C124              0.1uF/50V                   BottomLayer CC0603          2568.739      1254.967      360      "CAP CER 0.1UF 50V 10% X7R 0603"                              
C123              10uF/10V                    BottomLayer CC0805_Tantalum 2099.842      1800.242      90       "CAP Tantalum 10uF 6.3V 10% 0805"                             
C122              0.1uF/50V                   BottomLayer CC0603          2166.771      1763.234      90       "CAP CER 0.1UF 50V 10% X7R 0603"                              
C121              0.1uF/50V                   BottomLayer CC0603          2317.165      3436.069      180      "CAP CER 0.1UF 50V 10% X7R 0603"                              
U26               TLV341AIDBVR                BottomLayer SOT-23_6L       2307.716      3323.470      270      TLV341AIDBVR                                                  
R87               0R                          BottomLayer 0805            3073.858      1063.299      180      "RES 0R OHM 1/8W JUMPER 0805"                                 
R86               100K                        BottomLayer 0603            2493.740      3330.430      90       "RES 100K OHM 1/10W 1% 0603"                                  
R85               "100K 1/10W"                TopLayer    0805            432.677       517.878       90       "RES 100K OHM 1/10W 0.1% 0805"                                
D22               DNP                         BottomLayer SOD323F         1956.928      2308.904      180      "DIODE SCHOTTKY 23V 1A SOD323F"                               
D21               DNP                         BottomLayer SOD323F         1961.653      2778.982      180      "DIODE SCHOTTKY 23V 1A SOD323F"                               
D20               DNP                         BottomLayer SOD323F         1253.385      2313.234      180      "DIODE SCHOTTKY 23V 1A SOD323F"                               
D19               DNP                         BottomLayer SOD323F         1265.196      2793.156      180      "DIODE SCHOTTKY 23V 1A SOD323F"                               
D18               DNP                         BottomLayer SOD323F         420.314       2326.227      180      "DIODE SCHOTTKY 23V 1A SOD323F"                               
D17               DNP                         BottomLayer SOD323F         406.535       2764.809      180      "DIODE SCHOTTKY 23V 1A SOD323F"                               
C120              0.1uF/50V                   BottomLayer CC0603          2434.094      3328.402      90       "CAP CER 0.1UF 50V 10% X7R 0603"                              
C119              0.1uF/50V                   BottomLayer CC0603          2333.306      3237.250      360      "CAP CER 0.1UF 50V 10% X7R 0603"                              
C118              22uF/25V                    TopLayer    CC1210          811.259       2536.750      360      "CAP CER 22uF 25V 10% X7R 1210"                               
C117              22uF/25V                    TopLayer    CC1210          811.259       2427.007      360      "CAP CER 22uF 25V 10% X7R 1210"                               
Y2                "32.768kHz 12.5pF"          BottomLayer ABS06_0805      2658.503      2109.297      360      "32.768kHz ±20ppm Crystal 12.5pF 70 kOhm -40°C ~ 125°C"       
Y1                "32MHz 10ppm"               BottomLayer XTAL_ABM8X      2121.495      1597.184      135      "32MHz ±10ppm Crystal 10pF 60 Ohm -40°C ~ 125°C"              
VBus              DNP                         BottomLayer 0603-LED        1056.454      176.202       270      "SMD Green LED"                                               
U25               MAX9934TAUA+                BottomLayer MSOP-8          1807.913      2528.392      360      MAX9934TAUA+                                                  
U24               TLV341AIDBVR                BottomLayer SOT-23_6L       1796.345      3385.046      90       TLV341AIDBVR                                                  
U22               MAX9934TAUA+                BottomLayer MSOP-8          1816.574      2994.140      360      MAX9934TAUA+                                                  
U21               TLV341AIDBVR                BottomLayer SOT-23_6L       1268.346      3387.683      90       TLV341AIDBVR                                                  
U20               MAX9934TAUA+                BottomLayer MSOP-8          1103.936      2535.990      360      MAX9934TAUA+                                                  
U19               TLV341AIDBVR                BottomLayer SOT-23_6L       231.732       2145.124      270      TLV341AIDBVR                                                  
U18               MAX9934TAUA+                BottomLayer MSOP-8          1119.291      2996.227      360      MAX9934TAUA+                                                  
U17               TLV341AIDBVR                BottomLayer SOT-23_6L       632.913       3360.872      90       TLV341AIDBVR                                                  
U16               MAX9934TAUA+                BottomLayer MSOP-8          274.889       2541.502      360      MAX9934TAUA+                                                  
U15               MAX9934TAUA+                BottomLayer MSOP-8          258.661       3005.282      360      MAX9934TAUA+                                                  
U13               REF5025AQDRQ1               BottomLayer SOIC-8          2399.054      2356.935      270      REF5025A-Q1                                                   
U12               MSP430F6659IPZR             BottomLayer PZ0100A_N       2574.645      1665.990      270      Imported                                                      
U10               TPS5430QDDARQ1              TopLayer    SO8_Power_PAD   927.991       557.526       360      TPS5430QDDARQ1                                                
U9                TPS5420QDRQ1                TopLayer    SO8_Power_PAD   1307.913      1614.612      270      TPS5420QDRQ1                                                  
U7                DS2775G+                    BottomLayer TDFN-14-EP_3x5  1133.700      1723.470      360      "IC FUEL GAUGE LI+ 2CELL 14-TDFN"                             
U6                FDS6898AZ                   BottomLayer SOIC8           1233.503      1272.585      270      "MOSFET 2N-CH 20V 9.4A 8SOIC"                                 
U5                ADS1248IPW                  BottomLayer TSSOP28         2477.794      876.817       180      "24 bit ADC Differential Input, SPI, 28-pin TSSOP"            
U4                TPS5420QDRQ1                TopLayer    SO8_Power_PAD   2584.322      1419.337      360      TPS5420QDRQ1                                                  
U3                TPS5410QDRQ1                TopLayer    SO8_Power_PAD   2516.968      2939.809      180      TPS5410QDRQ1                                                  
U2                TPS54540QDDARQ1             TopLayer    SO8_Power_PAD   1690.984      568.549       360      TPS54540QDDARQ1                                               
SYSTEM_ON         RED                         BottomLayer 0603-LED        3073.464      2310.872      90       "SMD Red LED"                                                 
RSense1           0.01R/0.5W                  BottomLayer 1206_-_ohmite   1137.243      1842.664      360      "Current Sense Resistors - SMD 0.01ohm .5% 4 Terminal"        
R83               3k3                         BottomLayer 0805            1773.858      2420.321      360      "RES SMD 3.3K OHM 0.1% 1/10W 0805"                            
R82               100K                        BottomLayer 0603            1618.196      3376.175      270      "RES 100K OHM 1/10W 1% 0603"                                  
R81               93K1                        BottomLayer 0603            1563.274      3376.175      90       "RES 93.1K OHM 1/10W 1% 0603"                                 
R79               3k3                         BottomLayer 0805            1777.794      2886.856      360      "RES SMD 3.3K OHM 0.1% 1/10W 0805"                            
R76               100K                        BottomLayer 0603            1100.235      3370.321      270      "RES 100K OHM 1/10W 1% 0603"                                  
R75               3k3                         BottomLayer 0805            1062.046      2412.053      360      "RES SMD 3.3K OHM 0.1% 1/10W 0805"                            
R74               93K1                        BottomLayer 0603            1053.779      3310.872      270      "RES 93.1K OHM 1/10W 1% 0603"                                 
R73               100K                        BottomLayer 0603            412.590       2175.981      90       "RES 100K OHM 1/10W 1% 0603"                                  
R72               3k3                         BottomLayer 0805            1077.007      2883.313      360      "RES SMD 3.3K OHM 0.1% 1/10W 0805"                            
R71               100K                        BottomLayer 0603            463.031       3343.943      270      "RES 100K OHM 1/10W 1% 0603"                                  
R70               300K                        BottomLayer 0603            464.755       2175.981      270      "RES 300K OHM 1/10W 0.1% 0603"                                
R69               93K1                        BottomLayer 0603            411.259       3293.549      270      "RES 93.1K OHM 1/10W 1% 0603"                                 
R68               3k3                         BottomLayer 0805            247.873       2421.502      360      "RES SMD 3.3K OHM 0.1% 1/10W 0805"                            
R67               3k3                         BottomLayer 0805            223.070       2893.549      360      "RES SMD 3.3K OHM 0.1% 1/10W 0805"                            
R66               DNP                         BottomLayer 0603            3000.363      2825.749      180      "RES 10K OHM 1/8W 1%  0603"                                   
R65               DNP                         BottomLayer 0603            3000.363      2773.622      180      "RES 10K OHM 1/8W 1%  0603"                                   
R64               4K7                         BottomLayer 0603            1546.239      1764.415      360      "RES 4K7 OHM 1/8W 1% 0603"                                    
R63               4K7                         BottomLayer 0603            1546.239      1600.242      360      "RES 4K7 OHM 1/8W 1% 0603"                                    
